City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
210,Inongo,CD,71.91,-1.95,18.2667,Hotel Du Lac
211,Yabrud,SY,52.88,33.9674,36.6574,صالة افراح الاندلس
212,Champerico,GT,81.61,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
213,Porto Belo,BR,69.75,-27.1578,-48.5531,Costa Verde Beach Hotel
214,Stavern,NO,36.32,59.0,10.0333,Hotel Wassilioff
215,Sadao,TH,77.56,6.6388,100.4234,Banana Resort Sadao
216,La Libertad,EC,69.46,-2.2333,-80.9,Playa Canela Hotel Boutique
218,Hambantota,LK,76.98,6.1241,81.1185,Bungalow 63
219,Sao Filipe,CV,79.11,14.8961,-24.4956,Hotel Xaguate
221,Am Timan,TD,74.28,11.0297,20.2827,Palais du chef Canton Salamt
222,Vanimo,PG,84.56,-2.6741,141.3028,Vahmoneh Lodge Vanimo
223,Cap-Aux-Meules,CA,57.22,47.3821,-61.8597,Château Madelinot
224,Lavrentiya,RU,33.13,65.5833,-171.0,
225,Chapais,CA,49.78,49.7834,-74.8492,Hôtel Opémiska
226,Sambava,MG,70.57,-14.2667,50.1667,Melrose
227,Saint-Augustin,CA,47.89,51.226,-58.6502,Riverview Inn
228,Cabinda,AO,76.68,-5.55,12.2,Hotel Maiombe
229,Narayanpet,IN,65.43,16.7333,77.5,Vasundra tiffins
231,Kattivakkam,IN,80.69,13.2167,80.3167,Euronova Freezer
232,Talara,PE,66.96,-4.5772,-81.2719,Hostal Oro Negro
233,Gilbues,BR,85.06,-9.8317,-45.3439,Hotel Camapuã
234,Dalaba,GN,61.56,10.7,-12.25,Hôtel Tangama
239,Tashtyp,RU,41.0,52.7939,89.8983,Oblachnyye Glubiny Orden Gusu Lan'
240,Mantua,IT,63.64,45.1667,10.7833,Hotel la Favorita
243,Nanortalik,GL,38.34,60.1432,-45.2371,Hotel Kap Farvel
244,Kavaratti,IN,81.55,10.5669,72.642,Green leaf
245,Newcastleton,GB,55.04,55.1796,-2.8127,Sorbietrees B&B
246,Washington,US,55.8,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
247,Pimentel,PE,64.69,-6.8367,-79.9342,Hotel Puerto del Sol
248,General Pico,AR,54.68,-35.6566,-63.7568,Euskadi Hotel
249,Itoman,JP,79.18,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
